Key,說明,zh-tw,zh-cn,en-us,th-th,ko-kr,my-mm,id-id,vi-vn,ja-jp,ms-my,es-es,lo-lao
MG_SMG_wildOrient,TH-2229,東方珍獸,东方珍兽,Wild Orient,,,,,,,,,
MG_SMG_cossacksTheWildHunt,TH-2230,哥薩克勇士：荒野狩獵,哥萨克勇士：荒野狩猎,Cossacks: The Wild Hunt,,,,,,,,,
MG_SMG_basketballStarWilds,TH-2231,籃球巨星百搭,篮球巨星百搭,Basketball Star Wilds,,,,,,,,,
MG_SMG_agentJaneBlondeMaxVolume,TH-2232,特工简·布隆德最大音量,特工简·布隆德最大音量,Agent Jane Blonde Max Volume,,,,,,,,,
MG_SMG_777MegaDeluxe,TH-2233,777絕對豪華,777绝对豪华,777 Mega Deluxe™,,,,,,,,,
MG_SMG_fruitBlast,TH-2234,水果大爆發,水果大爆发,Fruit Blast,,,,,,,,,
MG_SMG_breakAwayShootout,TH-2235,冰球突破 點球大戰,冰球突破 点球大战,Break Away Shootout,,,,,,,,,
MG_SMG_petsGoWild,TH-2236,狂野寵物,狂野宠物,Pets Go Wild,,,,,,,,,
MG_SFG_WDFuWaFishing,TH-2237,万达福娃捕鱼,万达福娃捕鱼,WD FuWa Fishing,,,,,,,,,
MG_SFG_WDGoldBlastFishing,TH-2238,萬達爆金捕魚,万达爆金捕鱼,WD Gold Blast Fishing,,,,,,,,,
MG_SFG_WDGoldenFortuneFishing,TH-2239,萬達金財神捕魚,万达金财神捕鱼,WD Golden Fortune Fishing,,,,,,,,,
Game_MG_EventRecord,TH-2240,活動,活动,Activities,กิจกรรม,이벤트,အစီစဉ်,Aktivitas,Hoạt động,イベント,akitiviti,Evento,ກິດຈະກຳ
GAME_WS168_COCKFIGHT,TH-2241,鬥雞,斗鸡,cockfight, การชนไก่,,,,,,,,
animal_game_report,TH-2242,動物競技遊戲區,动物竞技游戏区,Pet Race Area,โซนเกมกีฬาสัตว์,동물스포츠 게임 영역,တိရစ္ဆာန်အားကစားဂိမ်းကွင်း,Area permainan olahraga hewan,Khu trò chơi thi đấu động vật,動物競技エリア,Area Permainan Arena Pet,Área de juegos deportivos con animales,ໂຊນເກມກິລາສັດ
esport_game_report,TH-2243,電子競技遊戲區,电子竞技游戏区,Esports Area,โซนเกมอีสปอร์ต,e스포츠 게임  영역,ဂိမ်းကစားကွင်း,Area permainan olahraga elektronik,Khu trò chơi thi đấu thể thao điện tử,eスポーツエリア,Area Permainan E-Sport,Área de juegos deportivos electrónicos,ໂຊນເກມອີສະປອດ
Animal,TH-2244,動競,动竞,Pet Race,แข่งสัตว์,,,,,,,,
Esport,TH-2245,電競,电竞,Esports,อีสปอร์ต,,,,,,,,
homeView_introduce_20,TH-2246,娛樂快速、玩法簡單，提供玩家不間斷的鬥雞博奕體驗,娱乐快速、玩法简单，提供玩家不间断的斗鸡博奕体验,"Quick entertainment, easy-to-play, offering players a nonstop Chicken Game gaming experience","ความบันเทิงแบบเร็ว รูปแบบการเล่นที่ง่าย 
ให้ผู้เล่นได้รับประสบการณ์การชนไก่อย่างต่อเนื่อง","오락은 빠르고 플레이는 간단하여, 플레이어의 끊임없는 닭싸움 경험을 제공합니다.",ဖျော်ဖြေရေးမြန်ဆန်ပြီးကစားနည်းရိုးရှင်းသောကြောင့် ကစားသူအားတိုက်ခိုက်ခြင်းအတွေ့အကြုံကောင်းကို ပေးနိုင်ပါသည်။,Hiburan instan dan permainan sederhana. Memberi pemain pengalaman judi sabung ayam yang tiada henti,"Giải trí nhanh, kiểu chơi đơn giản, cung cấp trải nghiệm cá cược đá gà cho người chơi không ngừng nghỉ",エンターテイメントは速く、ゲームプレイはシンプルで、プレイヤーに中断のない闘鶏体験を提供します。,"Hiburan yang pantas dan gameplay yang mudah, memberikan pengalaman permainan sabung ayam yang berterusan kepada pemain.","Entretenimiento rápido y forma de jugar simple, brindando a los jugadores una experiencia ininterrumpida de peleas de gallos.",ຄວາມບັນເທິງແບບໄວ ຮູບແບບການຫຼິ້ນທີ່ງ່າຍ ໃຫ້ຜູ້ຫຼິ້ນໄດ້ຮັບປະສົບການການຊົນໄກ່ຢ່າງຕໍ່ເນື່ອງ
homeView_introduce_21,TH-2247,覆蓋全球六十餘款遊戲，無論是手遊或是傳統電競，都能讓您大贏特贏,覆盖全球六十余款游戏，无论是手游或是传统电竞，都能让您大赢特赢,"More than 60 games with a global coverage area, whether it's mobile gaming or traditional esports, you get to WIN, WIN, and WIN!!","ครอบคลุมเกมมากกว่า 60 เกมทั่วโลก 
ไม่ว่าจะเป็นเกมบนมือถือหรืออีสปอร์ตแบบดั้งเดิม 
คุณก็สามารถชนะรางวัลใหญ่ได้","전 세계 60여 종의 게임을 커버하여 모바일 게임이든, 전통적인 e-스포츠이든, 모두 대박을 터뜨릴 수 있습니다.",ကမ္ဘာတစ်ဝှမ်းရှိ လွှမ်းခြုံထားသောဂိမ်းပေါင်း 60 ကျော်၊မိုဘိုင်းဂိမ်းပဲဖြစ်စေ(သို့) ရိုးရာ e-sportsပဲဖြစ်စေကြီးကြီးမားမားကို အနိုင်ရယူနိုင်သည်။,"Meliputi lebih dari 60 permainan di seluruh dunia. Baik itu permainan seluler maupun e-sports tradisional, Anda bisa menang terus","Phủ sóng toàn cầu hơn 60 loại trò chơi, bất kể là Mobile game hoặc là trò chơi điện tử thể thao truyền thống, đều có thể cho bạn thắng đã tay",モバイル ゲームでも従来の e スポーツでも、世界中の 60個 以上のゲームをカバー。大勝利を収めてください！,"Kami menawarkan lebih daripada 60 permainan global, sama ada permainan mudah alih atau e-sukan tradisional, untuk memberikan anda kemenangan besar.","Cubierto con más de 60 juegos de todo el mundo, sean juegos móviles o deportes electrónicos tradicionales, que le permite ganar a lo grande.",ຄອບຄຸມເກມຫຼາຍກວ່າ 60 ເກມທົ່ວໂລກ ບໍ່ວ່າຈະເປັນເກມເທິງມືຖືຫຼືອີສະປອດແບບດັ້ງເດີມ ທ່ານກໍ່ສາມາດຊະນະລາງວັນໃຫຍ່ໄດ້
animalView_introduce_1,TH-2248,格鬥直播讓您血脈噴張加倍剌激,格斗直播让您血脉喷张加倍剌激,"Live Fights Gets Your Heart Pumping, Adding to the Excitement and Thrills!!",ไลฟ์สดการต่อสู้ทำให้เลือดคุณสูบฉีดเพิ่มความน่าตื่นเต้น,파이팅 생방송은 당신의 혈맥을 더 짜릿하게 자극합니다.,တိုက်ပွဲတိုက်ရိုက်ထုတ်လွှင့်မှုသည်ပိုမိုစိတ်လှုပ်ရှားစေသည်။,Pertarungan siaran langsung membuat darah Anda tersembur dan seru berlipat ganda,Live stream đấu vật cho bạn cực hưng phấn kịch tính thêm gấp bội,格闘のライブ配信に大興奮,Perlawanan pukulan langsung meningkatkan keghairahan dan ketegangan anda.,La transmisión en vivo de peleas hace que tu sangre brote más emocionante,ໄລຟ໌ສົດການຕໍ່ສູ້ເຮັດໃຫ້ເລືອດທ່ານເພີ່ມຄວາມໜ້າຕື່ນເຕັ້ນ
RSG_1,TH-2249,泰有錢,泰有钱,Fortune Thai,ฟอร์จูนไทย,포천 타이,ထိုင်းြကွယ်ဝ,Fortune Thai,THAI May Mắn,フォーチュンタイ,,,
RSG_10,TH-2250,動物叢林,动物丛林,Jungle,ป่าดง,정글,သစ်ေတာ,JUNGLE,Rừng Nhiệt Đới Động Vật,ジャングル,,,
RSG_100,TH-2251,羅馬競技場,罗马竞技场,Roma,สนามประลองแห่งกรุงโรม,로마 경기장,ရိုးမား,Koloseum,Đấu Trường La Mã,ローマ競技場,,,
RSG_11,TH-2252,虎克船長,虎克船长,Captain Hook,กัปตันเรือฮุก,후크 선장,ဗိုလ်ြကီးဟူး,CaptainHook,Thuyền Trưởng Hook,キャプテンフック,,,
RSG_111,TH-2253,開心農場,开心农场,Happy Farm,แฮปปี้ ฟาร์ม,행복한 농장,ပျော်ရွှင်လယ်ယာ,Selamat Bertani,Trang Trại Vui Vẻ,ハッピーファーム,,,
RSG_112,TH-2254,雷神之錘,雷神之锤,Power of Thor,เทพเจ้าสายฟ้าธอร์,토르의 망치,ထော,Kekuatan Thor,Thần Sấm Thor,雷神のハンマー,,,
RSG_113,TH-2255,秦皇傳說,秦皇传说,Chin Shi Huang,ตำนานจักรพรรดิฉิน,진나라 황제 전설,ချင်ဘုရင်ဒဏ္ဍာရီ၊,Legenda Kaisar Qin,Truyền thuyết Tần Hoàng,秦皇帝の伝説,,,
RSG_114,TH-2256,聚寶財神,聚宝财神,Caishen Fortunes,เทพเจ้าแห่งความมั่งคั่ง,보물의 신,စည်းစိမ်ဥစ္စနတ်,Keberuntungan Caishen,Thần Tài Tiền Tài,富を集める財神,,,
RSG_117,TH-2257,麻將發了,麻将发了,Rich Mahjong,หม่าเจี้ยง มหาละลวย,마작 대박,မာကျန်ေပါသည်,Mahjong kaya,Mạt chược phát rồi,リッチマージャン,,,
RSG_119,TH-2258,魔龍傳奇,魔龙传奇,Dragon Legend,ตำนานมังกร,드래곤 레전드,နဂါးဒဏ္ဍာရီ,Legenda Naga,Truyền kỳ Ma Long,ドラゴンレジェンド,,,
RSG_121,TH-2259,戰神呂布,战神吕布,Legend of Lu Bu,ตำนานเทพลิโป้,전쟁신 루부,သူရဲေကာင်းလူပူ,Legenda Lu Bu,Chiến Thần Lữ Bộ,呂布の伝説,,,
RSG_12,TH-2260,野蠻遊戲,野蛮游戏,HUCA,เกมดุร้าย,후카,ြကမ်းတမ်းေသာဂိမ်း,HUCA,Huca,ヒュカ,,,
RSG_14,TH-2261,甜蜜糖果,甜蜜糖果,Sweet Candy,ขนมหวาน,스위트 캔디,ချိုချဉ်,Sweet Candy,Kẹo Ngọt,スウィートキャンディ,,,
RSG_15,TH-2262,烈焰轉輪,烈焰转轮,Fire Spin,วงล้อเปลวไฟ,파이어 스핀,မီးလျှံဘီး,Putaran api,Guồng Lửa,ファイヤスピン,,,
RSG_16,TH-2263,大力水手,大力水手,Popeye,ป๊อปอาย,뽀빠이,ပိုပီ,Popeye,Thủy Thủ Popeye,ポパイ,,,
RSG_17,TH-2264,瘋狂博士,疯狂博士,Crazy Doctor,หมอบ้า,크레이지 닥터,ပါရဂူအရူး,Profesor Gila,Tiến Sĩ Điên Rồ,狂ったような博士,,,
RSG_18,TH-2265,永不停止,永不停止,Nonstop,ไม่มีที่สิ้นสุด,논스톱,မရပ်မနား,Tanpa berhenti,Không Bao Giờ Ngừng,ノンストップ,,,
RSG_19,TH-2266,五龍爭霸,五龙争霸,Five Dragons,ห้ามังกร,5 드래곤스,နဂါး5ေကာင်,5 NAGA,5 Rồng Tranh Bá,5ドラゴン,,,
RSG_2,TH-2267,魔法石,魔法石,Magic Gem,มายากลอัญมณี,매직 젬,ေမှာ်ခဲ,MAGIC GEM,Hòn Đá Ma Thuật,マジックジェム,,,
RSG_2001,TH-2268,能量外星人,能量外星人,Energy Combo,พลังงานเอเลี่ยน,에너지 콤보,အားအင်အြပည့်ြဂိ ုလ်သား,Energi Kombo,Năng lượng người ngoài hành tinh,エネルギー ．異星人,,,
RSG_20,TH-2269,金魚3,金鱼3,GoldFish 3,ปลาทอง 3,금붕어 3,ေရႊငါး 3,Ikan Mas 3,Cá Vàng 3,金魚3,,,
RSG_21,TH-2270,七十二變,七十二变,72 Changes,72 ร่าง,72 체인지스,72ေြပာင်း,Perubahan 72,72 Phép Biến Hóa,72チェンジ,,,
RSG_22,TH-2271,瘋狂兔子,疯狂免子,Crazy Rabbit,กระต่ายคลั่ง,크레이지 래빗,ခေရစီယုန္,Kelinci Gila,Chú Thỏ Say Mê,クレイジー･ウサギー,,,
RSG_23,TH-2272,人魚傳說,人鱼传说,Mermaid,ตำนานนางเงือก,인어의 전설,ေရသူမ,putri duyung,Truyền Thuyết Nàng Tiên Cá,マーメイド,,,
RSG_24,TH-2273,荒野水牛,荒野水牛,Buffalo,ควายป่า,버펄로,ကွျဲ,Kerbau,Trâu Nước Hoang Dã,バッファロー,,,
RSG_25,TH-2274,竹林熊貓,竹林熊猫,Wild Panda,แพนด้าป่าไผ่,와일드 판다,ေတာရိုင်းဝက်ဝံ,Panda Liar,Gấu Trúc Rừng Trúc,ワイルドパンダ,,,
RSG_26,TH-2275,泰好運,泰好运,Lucky Thailand,ไทยโชคดี,러키 타이,ကံေကာင်းထိုင်း,Keberuntungan Thai,THAI May Mắn,ラッキータイ,,,
RSG_27,TH-2276,財神到,财神到,God of Wealth,ไฉ่ซิงเอี้ย,재신,ဥစ္စာဓနဘုရား,Dewa Rezeki,Thần Tài Đến,恵比寿,,,
RSG_28,TH-2277,行運一條龍,行运一条龙,Lucky Dragon,ลัคกี้มังกร,럭키 드래곤,ကံေကာင်းနဂါး,Naga Keberuntungan,Rồng May Mắn,ラッキードラゴン,,,
RSG_29,TH-2278,HUSA,HUSA,HUSA,,,,,,,,,
RSG_3,TH-2279,皇家777,皇家777,Royal 777,รอยัล 777,로열 777,ေတာ်ဝင်777,ROYAL 777,Hoàng Gia 777,ローヤル777,,,
RSG_30,TH-2280,龍王,龙王,Dragon King,ราชามังกร,드래곤킹,နဂါးမင်း,Dragon King,Long Vương,龍王,,,
RSG_3001,TH-2281,八爪天下海霸王,八爪天下海霸王,Ocean Emperor,จักรพรรดิแห่งมหาสมุทร,바다 황제,ပင္လယ္ဧကၠရာဇ္ ေရဘဝဲမင္း,Gurita Raja Dunia Laut,Bá vương biển tám vuốt,オーシャン エンペラー,,,
RSG_3002,TH-2282,福娃捕魚,福娃捕鱼,FuWa Fishing,ตุ๊กตานำโชคจับปลา,푸와 피싱,ဖူဝါးငါးဖမ္း,Fuwa memancing,Bắt cá FuWa,フワ魚とり,,,
RSG_31,TH-2283,提金派對,提金派对,TiKi Party,ปาร์ตี้ทอง,티전 파티,တီဂီပါတီ,Kelompok pengambil emas,Tiệc Tiki,ティキパーティー,,,
RSG_32,TH-2284,礦工哥布林,矿工哥布林,Goblin Miner,ภูตเหมืองแร่,고블린 광부,မိုင်းလုပ်သားကိုဘလင်း,Burung tambang Goblin,Thợ Mỏ Goblin,ゴブリン鉱夫,,,
RSG_33,TH-2285,幸運拉霸,幸运拉霸,Lucky Bar,ลัคกี้บาร์,럭키 바,ကံေကာင်းဘား,Lucky Bar,Quán Bar May Mắn,ラッキーバー,,,
RSG_34,TH-2286,非洲,非洲,Africa,แอฟริกา,아프리카,အာဖရိက,Afrika,Châu Phi,アフリカ,,,
RSG_35,TH-2287,巫師商店,巫师商店,Wizard Store,ร้านพ่อมด,마법사 상점,ေမှာ်ဆရာဆိုင်,Toko Wizard (Toko penyihir),Cửa Hàng Thầy Phù Thủy,魔法使いの売店,,,
RSG_36,TH-2288,家犬先生,家犬先生,Mr.Doggy,คุณสุนัข,미스터 도기,အိမ်ေခွး,Mr. Doggy,Ngài Chó Nhà,犬ちゃん,,,
RSG_37,TH-2289,迪斯可之夜,迪斯可之夜,Disco Night,ในคืนที่ดิสโก้,디스코 나이트,ဒစ်စကိုည,Disco Night,Đêm Disco,ディスコナイト,,,
RSG_38,TH-2290,農場夜驚魂,农场夜惊魂,Horror Nights,ฟาร์มสยองในคืนหฤโหด,호러 나이트,ထိတ်လန့်ည,Horror Nights (Malam Horor),Rùng Rợn Đêm Nông Trường,ホラーナイト,,,
RSG_39,TH-2291,武媚娘,武媚娘,China Empress,อู๋เหม่ยเนียง,중국 여황제,ဝူေမညမ်း,Ratu Tiongkok Wu Mei Niang (China Empress),Võ Mị Nương,武則天,,,
RSG_4,TH-2292,慾望城市,欲望城市,Love City,เมืองแห่งความรัก,러브시티,အချစ်ြမို့,LOVE CITY,Thành Phố Tình Yêu,ラブシティー,,,
RSG_40,TH-2293,福娃發發,福娃发发,FuWaFaFa,ตุ๊กตานำโชคฟาฟ่า,푸와와파파,လဒ်ရွှင်အရပ်,FuWaFaFa,FuWaFaFa,フーワーファファ,,,
RSG_41,TH-2294,泰山,泰山,Tarzan,ทาร์ซาน,타잔,သာဇန်,TARZAN,Người Rừng,ターザン,,,
RSG_42,TH-2295,墨西哥辣椒,墨西哥辣椒,Jalapeno,พริกเม็กซิกัน,할라페뇨,မက်စီကို,Jalapeno,Ớt Mexico,ハラペーニョ,,,
RSG_43,TH-2296,金豬爆吉,金猪爆吉,Piggy Punch,หมูทองระเบิด,피기펀치,ဖက်ကီဝက်,Pukulan Babi Emas,Chú Heo Vàng,豚パンチ,,,
RSG_44,TH-2297,七起來,七起来,Sevens High,Sevens High,세븐즈 하이,ခုနစ်ဟိုင်း,Tujuh Agung,Số Bảy Cao Hứng,七ハイ,,,
RSG_45,TH-2298,女忍者,女忍者,Kunoichi,นินจาหญิง,쿠노이치,နင်ဂျာမ,Ninja wanita,Nữ Ninja,くノ一,,,
RSG_46,TH-2299,忍者,忍者,Ninja,นินจา,닌자,နင်ဂျာ,Ninja,Ninja,忍者,,,
RSG_47,TH-2300,果凍27,果冻27,Jelly 27,เจลลี่27,젤리 27,ြကယ်လီ27,Jelly27,Thạch Đông 27,ゼリー27,,,
RSG_48,TH-2301,暴怒棕熊,暴怒棕熊,Angry Bear,หมีโกรธ,화난곰,ေဒါသြကီးနှင့်ဝက်ဝံညို,Beruang coklat yang marah,Chú Gấu Tức Giận,プンプン怒るベア,,,
RSG_49,TH-2302,海神,海神,Poseidon,โพไซดอน,포세이돈,ပင်လယ်နတ်,Poseidon,Thần Biển,ポセイドン,,,
RSG_5,TH-2303,金鷄報喜,金鸡报喜,Gold Chicken,ไก่ทอง,골드 치킨,ေရွှြကက်,Ayam emas,Gà Vàng Báo Hỷ,ゴールドチッキン,,,
RSG_50,TH-2304,跳跳獅,跳跳狮,Dancing Lion,กระโดดสิงโต,댄싱 라이언,ခုန်ခုန်ြခင်္ေသ့,Singa berdansa,Sư Tử Nhảy Múa,踊るライオン,,,
RSG_51,TH-2305,美杜莎,美杜莎,Medusa,เมดูซ่า,메두사,ဂရိဘီလူးမိတူဇာ,Medusa,Medusa,メデユーサ,,,
RSG_52,TH-2306,美狄亞,美狄亚,Medea,Medea,메데아,ဂရိနတ်သမီးမိဒီယာ,Medea,Medea,メディア,,,
RSG_53,TH-2307,霓虹圓,霓虹圆,Neon Circle,วงกลมนีออน,네온 원형,ေရာင်စံုစက်ဝန်းများ,Lingkaran Neon,Vòng Tròn Phản Quang,ネオンサークル,,,
